Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Elevation (m);Highest point (m);Best 1000m (km/h);Best 1 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%)
mer. 13 juillet 2022 - 09:18;Cabanes de Camoudiet - Col de Crabe (1870 m) - Hourquette d’Ancizan;10,20;06h 08m 18s;22098;1,66;574;1876;4,88;2,40;33,56;25,46;21,77;8,89;1,39
dim. 10 juillet 2022 - 08:46;Lac d’Odéron - Col d’Estoudou (2260 m) - Col de Madamète (2508 m);16,14;06h 54m 34s;24874;2,34;815;2506;4,01;3,56;29,48;27,68;23,09;6,58;5,12
jeu. 07 juillet 2022 - 09:04;Bujaruelo - Puerto de Bujaruelo (2272 m);11,60;05h 20m 42s;19242;2,17;943;2265;3,83;3,48;29,44;25,94;20,77;16,99;3,41
mar. 05 juillet 2022 - 09:29;Torla - Miradores o Molar (2008 m);11,94;05h 32m 41s;19961;2,15;1127;1943;7,24;3,80;29,60;24,80;22,58;17,29;3,27
dim. 03 juillet 2022 - 08:23;Ordesa La Predera - Refugio de Góriz (2200 m);27,78;09h 14m 02s;33242;3,01;1674;2193;9,28;5,15;49,88;32,14;19,60;10,16;3,96
dim. 19 juin 2022 - 08:07;Jour 5 : Villargaudin - Gare de mont Dauphin via refuge de Furfande et le col Garnier (2279 m);26,46;08h 01m 39s;28899;3,30;1015;2292;5,01;4,48;25,00;20,98;18,91;8,55;5,63
sam. 18 juin 2022 - 07:42;Jour 4 : Refuge Agnel (2580 m) - La Monta via le Pain de Sucre (3200 m);15,70;05h 26m 02s;19562;2,89;843;3138;4,55;3,83;40,48;29,96;25,36;4,33;
ven. 17 juin 2022 - 08:14;Jour 3 : Saint-Véran refuge d’Agnel (2550 m) via Pic Caramantran (3025 m);17,66;06h 49m 10s;24550;2,59;1307;3002;5,19;4,48;24,76;23,38;18,87;12,89;10,47
jeu. 16 juin 2022 - 08:26;Jour 2 : Ceillac - Saint Véran par le col des Estronques (2654 m);13,70;05h 46m 47s;20807;2,37;1168;2741;4,70;3,75;28,08;25,00;22,90;17,83;7,69
mer. 15 juin 2022 - 09:09;Jour 1 : Pont de Bramousse - Ceillac par le col Fromage (2301 m);17,30;06h 34m 21s;23661;2,63;1392;2556;5,31;4,59;30,20;27,12;22,75;18,09;12,65
sam. 01 janvier 2022 - 10:31;Plougonver le jour de l’an;20,41;04h 53m 15s;17595;4,18;571;235;5,59;5,16;16,08;14,60;11,68;2,80;1,10
;;=SOMME($C2:$C12);;=SOMME($E2:$E12);=MAX($F2:$F12);=MAX($G2:$G12);=MAX($H2:$H12);=MAX($I2:$I12);=MAX($J2:$J12);=MAX($K2:$K12);=MAX($L2:$L12);=MAX($M2:$M12)
