Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
lun. 05 décembre 2022 - 18:06;Retour boulot;5,46;16m 35s;995;19,76;34,62;32,73;30,25;20,81;;;;;;;;;;;5,84;4,08;2,74;0,90;;
lun. 05 décembre 2022 - 08:13;Aller boulot;5,77;03h 39m 36s;13176;1,58;36,00;33,96;31,30;25,28;;;;;10,54;5,31;2,76;1,92;;;3,04;2,56;1,82;0,60;;
dim. 04 décembre 2022 - 08:56;Sortie VTT le matin pour aller encourager les Traillers;23,42;01h 53m 57s;6837;12,33;45,00;39,13;36,36;26,43;21,11;13,01;;;20,76;15,02;;;;;4,96;4,36;2,92;0,84;0,34;
ven. 02 décembre 2022 - 18:39;Retour boulot;5,28;15m 11s;911;20,86;37,50;32,14;26,67;22,39;;;;;;;;;;;4,56;3,96;3,44;1,04;;
ven. 02 décembre 2022 - 08:16;Aller boulot;5,27;14m 00s;840;22,60;32,14;30,51;27,91;24,52;;;;;;;;;;;2,72;1,68;1,18;;;
jeu. 01 décembre 2022 - 17:59;Retour boulot;5,13;16m 00s;960;19,24;32,14;31,58;30,51;20,29;;;;;;;;;;;5,20;4,32;3,68;1,34;;
jeu. 01 décembre 2022 - 07:31;Aller boulot;5,26;17m 45s;1065;17,78;25,00;22,50;20,81;19,07;;;;;;;;;;;7,20;5,16;3,16;1,01;;
mer. 30 novembre 2022 - 17:54;Retour boulot;5,05;21m 38s;1298;14,01;21,95;20,69;19,46;15,72;;;;;;;;;;;4,56;4,12;3,78;1,08;;
mer. 30 novembre 2022 - 12:09;Sortie vélo le midi;1,73;05m 32s;332;18,78;29,03;28,57;18,56;;;;;;;;;;;;4,40;2,72;2,28;;;
mer. 30 novembre 2022 - 07:31;Aller boulot;5,27;17m 07s;1027;18,46;25,00;24,00;21,82;19,21;;;;;;;;;;;2,96;1,64;1,24;;;
mar. 29 novembre 2022 - 17:40;Retour boulot;5,57;30m 43s;1843;10,87;28,13;24,66;21,30;12,42;;;;;11,10;;;;;;4,56;2,76;2,38;0,78;;
mar. 29 novembre 2022 - 07:31;Aller boulot;5,29;18m 13s;1093;17,44;31,03;29,03;26,47;20,50;;;;;;;;;;;3,36;2,92;2,14;0,48;;
lun. 28 novembre 2022 - 17:53;Retour boulot;5,34;15m 38s;938;20,51;36,00;34,62;31,86;22,06;;;;;;;;;;;4,24;2,76;2,38;0,46;;
lun. 28 novembre 2022 - 07:33;Aller boulot;5,25;17m 07s;1027;18,39;26,47;24,00;21,82;19,61;;;;;;;;;;;3,20;1,92;1,68;0,30;;
dim. 27 novembre 2022 - 09:56;Sortie VTT le matin;27,01;01h 47m 03s;6423;15,14;34,62;33,33;33,03;23,78;21,80;15,01;;;20,70;15,74;;;;;5,28;4,20;3,04;0,62;0,47;0,21
ven. 25 novembre 2022 - 17:30;Retour boulot;7,05;22m 49s;1369;18,53;33,33;32,73;30,51;23,59;;;;;;;;;;;8,96;6,40;2,04;0,70;;
ven. 25 novembre 2022 - 07:33;Aller boulot;5,25;15m 44s;944;20,03;28,13;24,00;22,78;21,20;;;;;;;;;;;2,80;2,24;1,26;0,20;;
mar. 22 novembre 2022 - 18:04;Retour boulot;5,67;28m 18s;1698;12,02;30,00;28,13;23,53;17,16;;;;;;;;;;;3,28;2,28;1,62;0,64;;
mar. 22 novembre 2022 - 07:31;Aller boulot;5,26;16m 40s;1000;18,94;27,27;24,32;23,53;20,25;;;;;;;;;;;3,76;2,04;1,54;0,18;;
lun. 21 novembre 2022 - 18:04;Retour boulot;4,87;11m 44s;704;24,90;37,50;34,62;33,33;;;;;;;;;;;;4,72;2,88;2,66;;;
lun. 21 novembre 2022 - 08:00;Aller boulot;4,85;13m 02s;782;22,33;32,14;30,00;27,27;;;;;;;;;;;;4,24;2,72;1,94;;;
dim. 20 novembre 2022 - 09:44;Sortie VTT le matin avec Clément et son beau Gravel;30,69;01h 39m 10s;5950;18,57;37,50;34,62;33,96;23,38;21,44;19,37;;;21,21;19,61;;;;;4,56;4,08;3,16;0,28;0,17;
ven. 18 novembre 2022 - 12:55;Retour boulot;5,33;14m 17s;857;22,39;32,14;31,58;30,51;23,94;;;;;;;;;;;3,44;3,00;2,18;0,58;;
ven. 18 novembre 2022 - 07:45;Aller boulot;5,24;15m 47s;947;19,93;31,03;29,51;25,90;22,90;;;;;;;;;;;2,80;2,16;1,68;0,25;;
jeu. 17 novembre 2022 - 18:02;Retour boulot;6,30;45m 25s;2725;8,32;30,00;29,51;22,78;17,53;;;;;8,33;;;;;;4,56;4,04;2,44;0,96;;
jeu. 17 novembre 2022 - 07:33;Aller boulot;5,26;16m 27s;987;19,18;25,00;24,00;22,36;20,13;;;;;;;;;;;5,52;3,76;2,12;0,44;;
mer. 16 novembre 2022 - 17:48;Retour boulot;7,94;36m 59s;2219;12,87;33,33;31,58;31,03;24,90;;;;;14,06;;;;;;7,84;4,40;1,74;0,42;;
mer. 16 novembre 2022 - 07:32;Aller boulot;5,24;17m 10s;1030;18,33;25,00;23,38;21,56;19,96;;;;;;;;;;;2,64;2,08;1,66;0,24;;
mar. 15 novembre 2022 - 18:17;Retour boulot;5,32;13m 50s;830;23,09;36,00;32,14;30,00;25,60;;;;;;;;;;;4,48;2,80;2,24;0,75;;
mar. 15 novembre 2022 - 07:46;Aller boulot;5,25;18m 11s;1091;17,34;23,08;22,50;20,69;18,20;;;;;;;;;;;2,72;1,92;1,38;;;
lun. 14 novembre 2022 - 18:13;Retour boulot;5,46;20m 49s;1249;15,74;27,27;26,47;21,18;16,93;;;;;;;;;;;3,84;3,12;2,08;0,79;;
lun. 14 novembre 2022 - 07:32;Aller boulot;5,25;16m 02s;962;19,64;26,47;25,00;22,78;20,43;;;;;;;;;;;2,96;1,80;1,18;;;
